ID,Producto,Categoría,Stock_Actual,Stock_Mínimo,Unidad,Tags
101,Croquetas,Alimentación,10,4,costales,"comida,perros,urgente"
201,Bravecto,Salud,60,45,piezas,"medicina,antiparasitario"
202,Vacuna Múltiple,Salud,25,20,dosis,"medicina,vacuna"
203,Prueba Moquillo,Salud,22,20,piezas,"medicina,diagnostico"
301,Jabón Líquido,Limpieza,40,20,litros,"higiene,quimicos"
302,Cloro,Limpieza,40,20,litros,"higiene,quimicos"
303,Escobas/Palas,Limpieza,5,2,unidades,"herramienta,limpieza"
206,Jeringas,Salud,100,50,unidades,"medicina,insumo"
207,Guantes,Salud,200,100,pares,"medicina,insumo"
102,Alimento BARF,Alimentación,110,100,kg,"comida,perros"
103,Alfalfa,Alimentación,10,6,pacas,"comida,caballos"
401,Agua (Tinaco),Recursos,2,2,tinaco,"suministro,vital"
402,Gasolina (Bidón),Recursos,5,5,bidones,"suministro,vehiculos"
204,Desparasitante Interno,Salud,120,100,dosis,"medicina,interno"
205,Prueba 4DX,Salud,25,20,piezas,"medicina,diagnostico"
